id,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,district
21742,64,2,1,85000,1328,San Cristóbal
21741,70,3,1,129900,1856,Los Ángeles
21740,94,2,2,144247,1535,San Andrés
21739,64,2,1,109900,1717,San Andrés
21738,108,2,2,260000,2407,Los Rosales
21737,126,4,2,195000,1548,San Andrés
21736,120,5,2,190000,1583,San Andrés
21735,125,3,2,198500,1588,Villaverde
21734,84,3,2,212000,2524,Villaverde
21733,85,2,1,131400,1546,Los Rosales
21732,69,2,2,118000,1710,San Andrés
21731,122,3,2,246900,2024,Villaverde
21730,123,3,2,195000,1585,Los Rosales
21729,109,3,2,205000,1881,Los Ángeles
21728,64,3,1,72000,1125,San Cristóbal
21727,115,3,1,160000,1391,Los Rosales
21726,115,3,1,184900,1608,Villaverde
21725,65,3,1,90000,1385,Villaverde
21724,75,3,1,129900,1732,Villaverde
21723,60,2,1,94900,1582,Villaverde
21722,60,2,1,89900,1498,Villaverde
21721,95,4,2,144900,1525,Villaverde
21720,76,3,1,110000,1447,Villaverde
21719,51,2,1,93000,1824,San Andrés
21718,134,3,2,130000,970,San Andrés
21717,62,2,1,104000,1677,San Andrés
21716,75,3,1,138000,1840,San Andrés
21715,112,4,2,280000,2500,Villaverde
21714,65,3,1,150000,2308,Los Rosales
21713,70,2,1,145900,2084,San Andrés
21712,75,1,1,92500,1233,San Andrés
21711,123,3,2,298000,2423,Los Rosales
21710,61,3,1,99900,1638,San Andrés
21709,72,2,1,138000,1917,Villaverde
21708,61,3,1,100000,1639,Butarque
21707,71,3,1,131400,1851,San Andrés
21706,87,3,1,96000,1103,Villaverde
21705,60,2,1,154000,2567,San Andrés
21704,78,4,1,146700,1881,Los Ángeles
21703,52,1,1,92500,1779,Los Rosales
21702,125,3,3,275000,2200,Butarque
21700,97,2,2,266122,2744,Butarque
21699,93,2,2,228273,2455,Butarque
21698,103,4,2,171900,1669,Los Ángeles
21697,83,2,2,228273,2750,Butarque
21696,45,2,1,85000,1889,Los Rosales
21695,120,3,2,298000,2483,Los Rosales
21694,74,3,1,139000,1878,Los Ángeles
21693,125,3,2,272500,2180,Butarque
21692,126,4,2,275000,2183,Butarque
21691,158,3,2,289000,1829,Butarque
21690,65,2,1,115000,1769,Villaverde
21689,108,3,2,179000,1657,Los Ángeles
21688,62,2,1,123000,1984,Villaverde
21687,51,2,1,89500,1755,Los Rosales
21686,112,3,2,289000,2580,Butarque
21685,109,3,2,216278,1984,Butarque
21684,107,3,2,207503,1939,Butarque
21683,76,2,2,162793,2142,Butarque
21682,105,3,2,204999,1952,Butarque
21681,109,3,2,220879,2026,Butarque
21680,108,3,2,218258,2021,Butarque
21679,109,3,2,231855,2127,Butarque
21678,76,2,2,163397,2150,Butarque
21677,76,2,2,160759,2115,Butarque
21676,108,3,2,217169,2011,Butarque
21675,76,2,2,165208,2174,Butarque
21674,109,3,2,219775,2016,Butarque
21673,108,3,2,230817,2137,Butarque
21672,108,3,2,213722,1979,Butarque
21671,111,2,2,230749,2079,Butarque
21670,115,3,2,233789,2033,Butarque
21669,115,3,2,230789,2007,Butarque
21668,117,3,2,244171,2087,Butarque
21667,117,3,2,243468,2081,Butarque
21666,117,3,2,244798,2092,Butarque
21665,118,3,2,219235,1858,Butarque
21664,115,3,2,242789,2111,Butarque
21663,97,4,1,130000,1340,San Andrés
21662,106,3,2,251569,2373,Butarque
21661,103,3,2,235402,2285,Butarque
21660,103,3,2,235172,2283,Butarque
21659,103,3,2,236227,2293,Butarque
21658,114,3,2,254710,2234,Butarque
21657,150,2,1,159000,1060,San Andrés
21656,140,3,3,272500,1946,Butarque
21655,58,3,1,85000,1466,Los Rosales
21654,65,3,1,94000,1446,San Cristóbal
21653,110,4,2,175000,1591,Los Rosales
21652,173,4,2,268000,1549,Villaverde
21651,75,2,1,156000,2080,Villaverde
21650,90,1,1,183159,2035,Butarque
21649,125,3,2,210000,1680,Los Rosales
21648,58,2,1,85000,1466,San Andrés
21647,92,3,1,159900,1738,Los Ángeles
21646,70,2,1,117000,1671,San Andrés
21645,54,2,1,110000,2037,San Andrés
21644,52,2,1,100000,1923,Villaverde
21643,108,3,1,140000,1296,San Andrés
21642,65,2,1,106500,1638,Los Rosales
21641,102,3,2,127500,1250,Los Rosales
21640,80,2,1,148000,1850,San Andrés
21639,108,2,1,205000,1898,Butarque
21638,80,3,2,220000,2750,Los Rosales
21637,16,3,1,114000,7125,Los Rosales
21636,54,2,1,89900,1665,San Andrés
21635,70,2,2,210000,3000,Los Rosales
21634,99,2,2,145000,1465,San Andrés
21633,123,4,2,275000,2236,Los Rosales
21632,64,3,1,104000,1625,Los Ángeles
21631,107,3,2,228629,2137,Butarque
21630,76,2,2,169021,2224,Butarque
21629,109,3,2,223022,2046,Butarque
21628,108,3,2,220072,2038,Butarque
21627,103,3,2,235718,2289,Butarque
21626,103,3,2,245000,2379,Butarque
21625,143,3,2,260000,1818,Butarque
21624,99,3,2,235000,2374,Butarque
21623,100,3,2,235000,2350,Butarque
21622,176,2,2,265000,1506,Butarque
21621,87,2,2,190000,2184,Butarque
21620,106,3,2,256115,2416,Butarque
21619,113,3,2,261989,2318,Butarque
21618,115,3,2,273353,2377,Butarque
21617,129,3,2,297621,2307,Butarque
21616,115,3,2,279778,2433,Butarque
21615,110,2,2,135000,1227,Villaverde
21614,90,3,2,195000,2167,Los Ángeles
21613,60,2,1,126900,2115,Los Rosales
21612,54,2,1,136400,2526,Los Ángeles
21611,80,3,1,145000,1812,San Andrés
21610,73,2,1,127500,1747,San Andrés
21609,122,3,2,179000,1467,San Andrés
21608,98,3,2,266122,2716,Butarque
21607,97,3,2,261989,2701,Butarque
21606,111,3,2,297621,2681,Butarque
21605,99,3,2,251569,2541,Butarque
21604,77,3,1,113500,1474,Villaverde
21603,85,3,1,138000,1624,San Andrés
21602,90,3,2,225000,2500,Butarque
21601,133,2,1,264000,1985,Los Rosales
21600,60,3,1,98260,1638,Los Rosales
21599,133,3,3,275000,2068,Butarque
21598,85,2,1,124000,1459,San Andrés
21597,59,2,2,164513,2788,Los Ángeles
21596,59,2,2,164416,2787,Los Ángeles
21595,58,2,2,165435,2852,Los Ángeles
21594,79,3,2,202629,2565,Los Ángeles
21593,60,2,2,164242,2737,Los Ángeles
21592,121,3,2,260000,2149,Los Rosales
21591,126,3,2,294900,2340,San Andrés
21590,134,4,2,319900,2387,San Andrés
21589,111,3,2,259900,2341,San Andrés
21588,122,3,2,285900,2343,San Andrés
21587,125,3,2,289900,2319,San Andrés
21586,102,2,2,249900,2450,San Andrés
21585,104,3,2,273352,2628,Butarque
21584,66,3,1,104900,1589,San Cristóbal
21583,95,2,1,155000,1632,San Andrés
21582,74,3,1,100000,1351,San Cristóbal
21581,97,2,1,210000,2165,Butarque
21580,90,2,2,240000,2667,San Andrés
21579,130,4,2,257000,1977,San Andrés
21578,49,2,1,84000,1714,San Andrés
21577,151,3,2,314000,2079,Los Rosales
21576,69,3,1,107000,1551,San Cristóbal
21575,170,3,2,325000,1912,Butarque
21574,48,2,1,89000,1854,Los Rosales
21573,98,3,2,284900,2907,Los Rosales
21572,50,1,1,135000,2700,San Andrés
21571,136,3,2,230000,1691,San Andrés
21570,80,3,1,163000,2038,Villaverde
21569,95,3,1,185000,1947,San Andrés
21568,56,3,1,80000,1429,Villaverde
21567,43,1,1,84000,1953,Los Rosales
21566,72,3,1,119900,1665,Villaverde
21565,100,4,2,154900,1549,Villaverde
21564,70,3,1,119900,1713,Villaverde
21563,60,2,1,79900,1332,Villaverde
21562,60,2,1,79900,1332,Villaverde
21561,91,3,2,129900,1427,Villaverde
21560,74,3,1,99900,1350,Villaverde
21559,110,3,2,275000,2500,Butarque
21558,83,3,1,91500,1102,San Andrés
21556,65,2,1,86860,1336,San Andrés
21555,58,3,1,105000,1810,Butarque
21554,115,3,2,216000,1878,Butarque
21553,82,3,1,120000,1463,San Andrés
21552,83,3,1,135000,1627,San Andrés
21551,90,2,1,212000,2356,Butarque
21550,95,2,2,184000,1937,San Cristóbal
21549,89,3,1,160000,1798,San Andrés
21548,178,4,2,299990,1685,Los Rosales
21547,59,2,1,117000,1983,Los Rosales
21546,100,4,1,165000,1650,Los Ángeles
21545,68,3,1,95000,1397,San Andrés
21544,50,2,1,106000,2120,Villaverde
21543,114,4,2,229000,2009,Villaverde
21542,81,3,2,155000,1914,San Andrés
21541,91,2,2,228208,2508,Butarque
21540,95,3,1,100000,1053,Butarque
21539,80,3,1,140000,1750,Villaverde
21538,60,2,1,105000,1750,San Andrés
21537,80,3,1,165000,2062,Los Ángeles
21536,60,2,1,73000,1217,San Cristóbal
21535,50,1,1,159000,3180,San Andrés
21534,136,3,1,135990,1000,Villaverde
21533,96,2,2,210000,2188,Los Ángeles
21532,71,2,2,198000,2789,Los Rosales
21531,74,2,1,139900,1891,Los Rosales
21530,65,2,1,110000,1692,San Cristóbal
21529,93,3,1,160000,1720,Villaverde
21528,75,3,1,103000,1373,San Andrés
21527,63,3,1,100000,1587,Los Rosales
21526,65,3,1,90000,1385,Villaverde
21525,115,3,1,154900,1347,San Andrés
21524,63,2,1,82260,1306,San Cristóbal
21523,72,3,1,139400,1936,Villaverde
21522,100,2,2,154900,1549,San Andrés
